Timestamp,ta,tg,rh,a_s,spl,lux,co2,tmrt,pmv,ppd
2025-06-01T00:00:00,24,23,50,0.1,40,300,500,24.5,0.2,5
2025-06-01T01:00:00,23.5,22.8,52,0.1,41,280,520,24.2,0.1,6
2025-06-01T02:00:00,23,22.5,55,0.1,38,260,540,24.0,0.0,5
2025-06-01T03:00:00,22.8,22.3,56,0.1,35,250,560,23.9,-0.1,5
2025-06-01T04:00:00,22.5,22.0,57,0.1,34,240,580,23.8,-0.1,6
2025-06-01T05:00:00,22.3,21.8,58,0.1,33,230,600,23.7,-0.2,6
2025-06-01T06:00:00,22.2,21.7,60,0.1,32,220,620,23.6,-0.2,7
2025-06-01T07:00:00,22.5,22.0,61,0.1,31,210,640,23.8,-0.1,6
2025-06-01T08:00:00,23.0,22.5,62,0.2,35,300,660,24.0,0.0,5
2025-06-01T09:00:00,24.0,23.5,60,0.3,40,500,680,24.5,0.2,5
2025-06-01T10:00:00,25.0,24.5,58,0.4,45,700,700,25.0,0.5,8
2025-06-01T11:00:00,26.0,25.5,55,0.4,50,800,720,25.5,0.6,10
2025-06-01T12:00:00,27.0,26.5,53,0.5,55,900,740,26.0,0.8,12
2025-06-01T13:00:00,27.5,27.0,52,0.5,57,950,760,26.3,0.9,15
2025-06-01T14:00:00,28.0,27.5,50,0.5,58,1000,780,26.8,1.0,18
2025-06-01T15:00:00,28.2,27.7,49,0.5,59,1050,800,27.0,1.1,20
2025-06-01T16:00:00,28.0,27.5,50,0.5,58,1100,820,26.8,1.0,18
2025-06-01T17:00:00,27.5,27.0,52,0.4,57,900,840,26.5,0.8,12
2025-06-01T18:00:00,26.5,26.0,55,0.3,55,700,820,26.0,0.6,10
2025-06-01T19:00:00,25.5,25.0,57,0.2,50,600,800,25.5,0.4,8
2025-06-01T20:00:00,24.5,24.0,58,0.2,45,500,780,25.0,0.3,7
2025-06-01T21:00:00,23.8,23.2,59,0.1,42,400,760,24.5,0.2,6
2025-06-01T22:00:00,23.2,22.7,60,0.1,40,350,740,24.0,0.1,6
2025-06-01T23:00:00,23.0,22.5,60,0.1,39,320,720,23.8,0.0,5
